experiment_id,test_id,wasa95
20250102-162154,1066528,0.45652173913043476
20250102-162154,1360686,0.6559139784946236
20250102-162154,1449548,0.30927835051546393
20250102-162154,1455390,0.35714285714285715
20250102-162154,1818471,0.6
20250102-162154,2598705,0.07142857142857142
20250102-162154,2638030,0.5528455284552846
20250102-162154,3509524,0.6730769230769231
20250102-162154,3997827,0.84
20250102-162154,4018081,0.8028169014084507
20250102-162154,4314139,0.46153846153846156
20250102-162154,4426783,0.6376811594202898
20250102-162154,46343,0.6785714285714286
20250102-162154,5132496,0.59375
20250102-162154,5498603,0.6826923076923077
20250102-162154,5797046,0.22784810126582278
20250102-162154,6220552,0.21153846153846154
20250102-162154,759667,0.7647058823529411
20250102-162154,781756,0.4024390243902439
20250102-162154,8000685,0.8181818181818182
20250102-162154,8173033,0.5862068965517241
20250102-162154,844359,0.6703296703296703
20250102-162154,8530312,0.19736842105263158
20250102-162154,8686948,0.7551020408163265
20250102-162154,8692923,0.6181818181818182
20250102-162154,9106476,0.16091954022988506
20250102-162154,9618981,0.4731182795698925
20250102-162154,9961348,0.9130434782608695
20250102-162836,1066528,0.463768115942029
20250102-162836,1360686,0.5806451612903226
20250102-162836,1449548,0.38144329896907214
20250102-162836,1455390,0.4523809523809524
20250102-162836,1818471,0.6
20250102-162836,2598705,0.42857142857142855
20250102-162836,2638030,0.44715447154471544
20250102-162836,3509524,0.8076923076923077
20250102-162836,3997827,0.92
20250102-162836,4018081,0.6197183098591549
20250102-162836,4314139,0.5096153846153846
20250102-162836,4426783,0.5072463768115942
20250102-162836,46343,0.8214285714285714
20250102-162836,5132496,0.75
20250102-162836,5498603,0.47115384615384615
20250102-162836,5797046,0.3670886075949367
20250102-162836,6220552,0.40384615384615385
20250102-162836,759667,0.7647058823529411
20250102-162836,781756,0.43902439024390244
20250102-162836,8000685,0.5757575757575758
20250102-162836,8173033,0.7586206896551724
20250102-162836,844359,0.3516483516483517
20250102-162836,8530312,0.27631578947368424
20250102-162836,8686948,0.7755102040816326
20250102-162836,8692923,0.6090909090909091
20250102-162836,9106476,0.26436781609195403
20250102-162836,9618981,0.16129032258064516
20250102-162836,9961348,0.8840579710144928
20250103-083100,1066528,0.5507246376811594
20250103-083100,1360686,0.6129032258064516
20250103-083100,1449548,0.41237113402061853
20250103-083100,1455390,0.25
20250103-083100,1818471,0.6
20250103-083100,2598705,0.2857142857142857
20250103-083100,2638030,0.10569105691056911
20250103-083100,3509524,0.8269230769230769
20250103-083100,3997827,0.84
20250103-083100,4018081,0.6338028169014085
20250103-083100,4314139,0.3076923076923077
20250103-083100,4426783,0.4927536231884058
20250103-083100,46343,0.7857142857142857
20250103-083100,5132496,0.71875
20250103-083100,5498603,0.6057692307692307
20250103-083100,5797046,0.22784810126582278
20250103-083100,6220552,0.23076923076923078
20250103-083100,759667,0.6470588235294118
20250103-083100,781756,0.5487804878048781
20250103-083100,8000685,0.696969696969697
20250103-083100,8173033,0.3793103448275862
20250103-083100,844359,0.3516483516483517
20250103-083100,8530312,0.4342105263157895
20250103-083100,8686948,0.7959183673469388
20250103-083100,8692923,0.42727272727272725
20250103-083100,9106476,0.4482758620689655
20250103-083100,9618981,0.3333333333333333
20250103-083100,9961348,0.8405797101449275
20250103-100246,1066528,0.47101449275362317
20250103-100246,1360686,0.8172043010752689
20250103-100246,1449548,0.28865979381443296
20250103-100246,1455390,0.30952380952380953
20250103-102144,1066528,0.3333333333333333
20250103-102144,1360686,0.4838709677419355
20250103-102144,1449548,0.36082474226804123
20250103-102144,1455390,0.2261904761904762
20250103-102144,1818471,0.6
20250103-102144,2598705,0.5
20250103-102144,2638030,0.6341463414634146
20250103-102144,3509524,0.6923076923076923
20250103-102144,3997827,0.64
20250103-102144,4018081,0.8591549295774648
20250103-102144,4314139,0.27884615384615385
20250103-102144,4426783,0.5797101449275363
20250103-102144,46343,0.7023809523809523
20250103-102144,5132496,0.46875
20250103-102144,5498603,0.3557692307692308
20250103-102144,5797046,0.08860759493670886
20250103-102144,6220552,0.38461538461538464
20250103-102144,759667,0.7647058823529411
20250103-102144,781756,0.0
20250103-102144,8000685,0.6060606060606061
20250103-102144,8173033,0.6206896551724138
20250103-102144,844359,0.1978021978021978
20250103-102144,8530312,0.4342105263157895
20250103-102144,8686948,0.8367346938775511
20250103-102144,8692923,0.4090909090909091
20250103-102144,9106476,0.16091954022988506
20250103-102144,9618981,0.3010752688172043
20250103-102144,9961348,0.5507246376811594
20250103-105535,1066528,0.427536231884058
20250103-105535,1360686,0.8279569892473119
