idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S003,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,0,0.3621646,0.16335374470089495,0.9429370629370629,1.0,0.0,0.2941112865253092,0.28989143279553875,0.19491537533561673
S004,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,1,0.3617943,0.06810681068106811,0.9365646258503402,1.0,0.0,0.3230599399162914,0.32174997401978617,0.2152547164023966
S005,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,2,0.36188626,0.08503857765850385,0.92703125,1.0,0.0,0.312149327866998,0.31722258401791836,0.20885174107264443
S006,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,3,0.36194074,0.09342447916666667,0.9359977324263039,1.0,0.0,0.3019432966597162,0.292378393618954,0.2010449453560845
S007,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,4,0.36227703,0.1392859026422657,0.9374149659863945,1.0,0.0,0.2885988880246774,0.29341511399168985,0.18490235965571825
S009,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,5,0.3616852,0.04799716412619638,0.9747147147147147,1.0,0.0,0.29810887079389903,0.30410069298222564,0.19584943267197052
S010,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,6,0.3618097,0.08514664143803216,0.9643283659587725,1.0,0.0,0.3280218147195448,0.32822512480140775,0.19232151455298505
S011,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,7,0.36183232,0.11226425622140386,0.9201993931512787,1.0,0.0,0.3101569301010766,0.32482001667357285,0.16794058897470793
S012,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,8,0.36178958,0.050431832202344234,0.9500798722044729,1.0,0.0,0.30639921525220093,0.31182212525351155,0.1763214337363638
S013,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,9,0.36172754,0.04887646266956612,0.9720071206052514,1.0,0.0,0.2978569574420343,0.30390010050827565,0.17970179042537424
S014,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,10,0.36179975,0.11978478383990938,0.9377703826955075,1.0,0.0,0.24053245447827046,0.238089468153456,0.201239472477965
S015,e96073a799a1618afad02120a9e0e5e50467ca13,1743186304,11,0.3621186,0.10550635348479014,0.9581195825225544,1.0,0.0,0.3121938575593528,0.304005288481203,0.19597335631120777
